BCAXF_BP6_USD,FIGB_PA,credit_government,credit_private,debt_service,House_prices,gdp_growth,credit_growth,inflation,stock_growth,credit_gap,house_gap,house_growth,Country_AT,Country_BE,Country_DE,Country_DK,Country_ES,Country_FI,Country_FR,Country_GB,Country_GR,Country_IE,Country_IT,Country_LU,Country_NL,Country_PT,Country_SE,three_year
232.2020924,9.099999999,,120.9,,,,0.090171326,0.045982073,-0.051148225,110.4140383,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-86.61154821,16.88666667,,107.6,,,,-0.025362319,0.214378358,,111.7500084,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-727.647432,11.09,,105.1,,86.78742381,0.040254367,-0.003791469,0.092374735,-0.012391231,104.8675177,76.56209715,-0.01599639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,8.573333333,,77.3,,,,0.069156293,0.052971126,0.086432497,73.98775174,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,11.58666667,,88.4,,,,-0.053533191,0.063204497,,84.90761698,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1854.629526,8.606666667,,92.4,,172.33103,,0.010940919,0.055182304,-0.108059667,94.64306768,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-1186.734584,,,119.3,,,,-0.009958506,0.133013056,,120.7150077,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-180.4571226,,,87.4,,93.56285145,,0.00575374,0.093092214,0.17032967,89.51753552,105.1023798,-0.017260969,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-2390.860743,12.85,,105.3,,81.2559677,0.019456878,-0.005665722,0.1331535,0.274640416,107.3138684,,0.066215777,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-903.3783216,14.44,,56.8,,,0.022299705,0.010676157,0.19084109,0.046968996,60.13074189,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-780,,,44.5,,,,-0.028384279,0.23518539,,44.73382416,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,,74,,103.8697139,,0,0.156779574,-0.085769178,72.01070039,,0.065891652,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-3519.327527,14.26333333,,57.2,,100.2377686,,-0.056105611,0.20643481,0.345339222,60.08112523,106.0677562,-0.185670442,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,7.363333332,,,,,,,0.05982235,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
166.8970461,10.41,,120.9,,87.5238466,,0.064260563,0.058222258,-0.098643006,111.5605512,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-405.4941314,16.56333333,,107.7,,,,0.000929368,0.211685653,,111.4348244,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
-941.1597366,11.14,,104.7,,82.24948575,0.046336329,-0.008522727,0.132000563,-0.007574826,105.3726332,76.1136704,-0.091218795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,9.273333333,,78.9,,,,0.066216216,0.064505351,0.04103513,74.58071329,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,11.97333333,,88.7,,,,-0.078920042,0.063537245,,84.91331319,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3402.312395,8.71,,93.6,,172.3920468,,0.014084507,0.059213678,-0.059080559,94.98861207,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-672.8922251,,,119.1,,,,-0.011618257,0.138609331,,120.9555536,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-1664.815303,15.64666667,,75.2,,,,0.00669344,0.1559688,,76.05824094,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-431.1409397,,,88.1,,91.8636957,,0.026806527,0.111949002,0.145833333,90.17805038,105.0540851,-0.019060598,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
778.7089577,12.95333333,,106.9,,82.42255314,0.02480773,0.005644403,0.137131179,0.187293977,107.5811216,,0.072532055,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-815.0877246,14.02,,57.1,,,-0.041273253,0.007054674,0.215483993,-0.069719894,61.01411178,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-701,,,44,,,,-0.035087719,0.252189202,,44.61464568,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,,73.4,,98.56414948,,-0.02781457,0.200819233,-0.107676835,72.01055904,,-0.097714428,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-2393.647382,15.04,,57.3,,105.0547626,,-0.023850085,0.209060035,0.375315028,59.90520349,105.6573477,-0.116542475,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,7.423333332,,,,,,,0.065670729,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
