,ISO2 Code,year,RAXGFX_USD,LUR_PT,TXG_FOB_USD,TMG_CIF_USD,FDSAOP_XDC,AIP_IX,ENDE_XDC_USD_RATE,FMB_XDC,FIMM_PA,EREER_IX,FILR_PA,FISR_PA,FDSF_XDC,FDSB_XDC,RAXG_USD,PCPI_IX,FASMB_XDC,PCTOT,NGDP_XDC,BGS_BP6_USD,BCAXF_BP6_USD,DSTKMKTXD,month,couprisk
73348,US,2010-03-01,48885.40193952,10.2,110510.205728,162162.501318,,,1.0,,0.16,100.66709413860599,3.25,,,,116479.70003549401,99.8053247911655,,99.9160385131836,,,,101.97000093408,03,0.0002227356308139861
73349,US,2010-04-01,48270.33015109,9.5,102477.44178,157623.537248,,,1.0,,0.2,99.9612071785581,3.25,,,,115440.378936001,99.97867515380258,,99.9581298828125,,-134496.0,-114638.0,105.54769653523,04,0.00023117948148865253
73350,US,2010-05-01,47129.28631716,9.3,105463.276426,160733.14298499998,,,1.0,,0.2,102.50647354896499,3.25,,,,113133.34270579301,100.056178358262,,99.9249114990234,,,,100.2765312412,05,0.00022842291218694302
73351,US,2010-06-01,47557.22092159,9.6,107153.195142,173382.57670499998,,,1.0,,0.18,103.02645991796,3.25,,,,113472.985680974,99.9584968047126,,99.89904022216801,,,,97.02071453281,06,0.0002317565813427791
73352,US,2010-07-01,49743.199769,9.7,104051.18442,169068.682004,,,1.0,,0.18,101.23034355020599,3.25,,,,118086.093532154,99.97959235148849,,99.91000366210942,,-146589.0,-130641.0,97.62212503159,07,0.00023281606263481078
73353,US,2010-08-01,49633.67786949,9.5,106871.28984900001,176354.647558,,,1.0,,0.19,100.292332214618,3.25,,,,117405.667540985,100.117630603218,,99.93600463867192,,,,98.84599193424,08,0.0002502312418073416
73354,US,2010-09-01,51709.3764631,9.2,107683.14513699998,172233.558911,,,1.0,,0.19,99.3752530952306,3.25,,,,122057.996493414,100.175872656273,,99.9720458984375,,,,101.2112317614,09,0.00023449725995305928
73355,US,2010-10-01,53241.23549939,9.0,117262.131026,175316.69600000003,,,1.0,,0.19,96.4402884898131,3.25,,,,124350.676677664,100.300611541557,,100.032577514648,,-116254.0,-98791.0,105.47452101429,10,0.00023962823615875092
73356,US,2010-11-01,50588.32452185,9.3,113116.960191,173765.679302,,,1.0,,0.19,96.6066347997323,3.25,,,,119241.169954591,100.34280263510901,,100.065879821777,,,,106.9435704166,11,0.00023833889281377202
73357,US,2010-12-01,52075.18739658,9.1,117446.88713399999,171055.42792000002,,,1.0,,0.18,97.61381212669771,3.25,,,,121391.80619794,100.51523580006001,,100.118858337402,,,,109.49288202001,12,0.0002252500707982108
73358,US,2011-01-01,52544.13088224,9.8,110183.36986400001,171778.918417,,,1.0,,0.17,96.4820803605757,3.25,,,,122902.105467976,100.99401299210501,,100.16400146484399,,-113115.0,-94088.0,112.71230378641,01,0.0002619318256620317
73359,US,2011-02-01,52753.67617603,9.5,109541.446075,160559.95686600002,,,1.0,,0.16,95.7691952950527,3.25,,,,123613.667626507,101.49205133555401,,100.19134521484399,,,,116.41415955198,02,0.00026245246408507233
73360,US,2011-03-01,52398.54270256,9.2,131725.758836,190816.385392,,,1.0,,0.14,94.89619392030241,3.25,,,,128273.515138561,102.481707638652,,100.200782775879,,,,115.37775838393,03,0.0002640465972945094
