;year;ISO2 Code;ENDE_XDC_USD_RATE;exchange_change;exchange_change_12m;pred;precrisis;<0.1;>0.1;>0.2;>0.3;>0.4;>0.5;>0.6;>0.7;>0.8;>0.9;;;;;;;;;;;;;
155;01/04/1991;BG;0.018499;-0.268804243;22.0948814;0.7080758;1;;-0.268804243;-0.268804243;-0.268804243;-0.268804243;-0.268804243;-0.268804243;-0.268804243;;;;;;;;;;;;;;;
156;01/04/1991;BR;9.48E-05;0.069372958;4.088109595;0.8459913;1;;0.069372958;0.069372958;0.069372958;0.069372958;0.069372958;0.069372958;0.069372958;0.069372958;;;;;;;;;;;;;;
157;01/04/1991;CD;1.36E-08;0.094554114;6.611233645;0.96716046;1;;0.094554114;0.094554114;0.094554114;0.094554114;0.094554114;0.094554114;0.094554114;0.094554114;0.094554114;;;;;;;;;;;;;
158;01/04/1991;CL;338.9;0.019871472;0.140539813;0.042351022;0;0.019871472;;;;;;;;;;;;;;;;;;;;;;
159;01/04/1991;CO;608.45;0.016699794;0.268264721;0.024578555;0;0.016699794;;;;;;;;;;;;;;;;;;;;;;
160;01/04/1991;CR;118.45;0.035426009;0.360712234;0.15158078;0;;0.035426009;;;;;;;;;;;;;;;;;;;;;
161;01/04/1991;CZ;;0.002960897;;0.29999;0;;0.002960897;0.002960897;;;;;;;;;;;;;;;;;;;;
162;01/04/1991;DO;13;0;0.744966443;0.06880721;0;0;;;;;;;;;;;;;;;;;;;;;;
163;01/04/1991;DZ;17.8332;0.070527692;1.218970473;0.3924639;1;;0.070527692;0.070527692;0.070527692;;;;;;;;;;;;;;;;;;;
164;01/04/1991;EG;3.2049;0.526422372;1.913545455;0.21676652;0;;0.526422372;0.526422372;;;;;;;;;;;;;;;;;;;;
165;01/04/1991;ET;2.07;0;0;0.13454114;0;;0;;;;;;;;;;;;;;;;;;;;;
166;01/04/1991;GH;0.036363636;0.02166065;0.149090909;0.13192917;0;;0.02166065;;;;;;;;;;;;;;;;;;;;;
167;01/04/1991;GT;4.94302;-0.009361578;0.155453846;0.031932298;0;-0.009361578;;;;;;;;;;;;;;;;;;;;;;
168;01/04/1991;HR;;-0.004938858;;0.32665795;1;;-0.004938858;-0.004938858;-0.004938858;;;;;;;;;;;;;;;;;;;
169;01/04/1991;HU;76.54;0.062781093;0.176313286;0.026280206;0;0.062781093;;;;;;;;;;;;;;;;;;;;;;
170;01/04/1991;ID;1939;0.00625;0.060142154;0.058750205;0;0.00625;;;;;;;;;;;;;;;;;;;;;;
171;01/04/1991;IL;2.3;0.111602753;0.144848183;0.029723622;0;0.111602753;;;;;;;;;;;;;;;;;;;;;;
172;01/04/1991;IN;20.0761;0.028426305;0.160582254;0.112421736;1;;0.028426305;;;;;;;;;;;;;;;;;;;;;
173;01/04/1991;IQ;1938.668292;0;0;0.050915897;0;0;;;;;;;;;;;;;;;;;;;;;;
174;01/04/1991;IR;69.566;0.054252718;-0.018649137;0.14328131;0;;0.054252718;;;;;;;;;;;;;;;;;;;;;
175;01/04/1991;KE;27.782;0.055174685;0.200537567;0.054286584;0;0.055174685;;;;;;;;;;;;;;;;;;;;;;
176;01/04/1991;KR;725.1;0.000414136;0.025601132;0.033912707;0;0.000414136;;;;;;;;;;;;;;;;;;;;;;
177;01/04/1991;KZ;;-0.027386997;;0.32665795;0;;-0.027386997;-0.027386997;-0.027386997;;;;;;;;;;;;;;;;;;;
178;01/04/1991;LK;40.92;0.001474201;0.023;0.020263687;0;0.001474201;;;;;;;;;;;;;;;;;;;;;;
179;01/04/1991;MA;8.9667;0.097710921;0.115164103;0.01674169;0;0.097710921;;;;;;;;;;;;;;;;;;;;;;
180;01/04/1991;MM;6.4769;0.058551491;-0.018651515;0.11641708;0;;0.058551491;;;;;;;;;;;;;;;;;;;;;
181;01/04/1991;MX;2.9946;0.003636119;0.083429812;0.026092285;0;0.003636119;;;;;;;;;;;;;;;;;;;;;;
182;01/04/1991;MY;2.759;0.020318021;0.014972593;0.007871753;0;0.020318021;;;;;;;;;;;;;;;;;;;;;;
183;01/04/1991;NG;9.082652134;-0.099297012;0.143505904;0.06092841;1;-0.099297012;;;;;;;;;;;;;;;;;;;;;;
184;01/04/1991;PH;27.842;0;0.220872616;0.041475836;0;0;;;;;;;;;;;;;;;;;;;;;;
185;01/04/1991;PK;23.5;0.036117381;0.075022873;0.0755696;0;0.036117381;;;;;;;;;;;;;;;;;;;;;;
186;01/04/1991;PL;0.94816798;0;0;0.09927638;0;0;;;;;;;;;;;;;;;;;;;;;;
187;01/04/1991;PY;1312;-0.008314437;0.062348178;0.025199907;0;-0.008314437;;;;;;;;;;;;;;;;;;;;;;
188;01/04/1991;RU;;0.010365784;;0.34195846;0;;0.010365784;0.010365784;0.010365784;;;;;;;;;;;;;;;;;;;
189;01/04/1991;SD;0.004500565;0;0;0.8840694;1;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
190;01/04/1991;SG;1.7703;0.038454856;-0.056745524;0.010949358;0;0.038454856;;;;;;;;;;;;;;;;;;;;;;
191;01/04/1991;TH;25.65;0.016244057;-0.01384083;0.04356056;0;0.016244057;;;;;;;;;;;;;;;;;;;;;;
192;01/04/1991;TR;0.00395704;0.111174771;0.56903983;0.2966294;0;;0.111174771;0.111174771;;;;;;;;;;;;;;;;;;;;
193;01/04/1991;TZ;208;0.017991004;0.072524299;0.037218638;0;0.017991004;;;;;;;;;;;;;;;;;;;;;;
194;01/04/1991;UA;;0;;0.34311187;0;;0;0;0;;;;;;;;;;;;;;;;;;;
195;01/04/1991;UG;640;0.033333333;0.688654354;0.032372013;0;0.033333333;;;;;;;;;;;;;;;;;;;;;;
196;01/04/1991;UY;1.867;0.026651217;0.786602871;0.047250666;0;0.026651217;;;;;;;;;;;;;;;;;;;;;;
198;01/04/1991;VN;8955;0.028571429;0.674418605;0.09706315;0;0.028571429;;;;;;;;;;;;;;;;;;;;;;
199;01/04/1991;ZA;2.786990329;0.064490576;0.046375519;0.03703443;0;0.064490576;;;;;;;;;;;;;;;;;;;;;;
200;01/05/1991;AF;42.82278;0;0;0.044413082;0;0;;;;;;;;;;;;;;;;;;;;;;
201;01/05/1991;AO;5.98E-08;0;1;0.7897059;1;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
202;01/05/1991;AR;0.9905;0.018701299;0.979020979;0.066736504;0;0.018701299;;;;;;;;;;;;;;;;;;;;;;
203;01/05/1991;AZ;;0.036180205;;0.34195846;0;;0.036180205;0.036180205;0.036180205;;;;;;;;;;;;;;;;;;;
204;01/05/1991;BD;35.79;0;0.025501433;0.053467628;0;0;;;;;;;;;;;;;;;;;;;;;;
205;01/05/1991;BG;0.018247;0.219848335;21.78027466;0.7220831;0;;0.219848335;0.219848335;0.219848335;0.219848335;0.219848335;0.219848335;0.219848335;;;;;;;;;;;;;;;
206;01/05/1991;BR;0.000103527;0.091240112;4.155834043;0.8657891;1;;0.091240112;0.091240112;0.091240112;0.091240112;0.091240112;0.091240112;0.091240112;0.091240112;;;;;;;;;;;;;;
