country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Iceland;;;28.9;30.7;32.4;32;29.8;27.3;30.6;35.3;35.5;37.6;45.4;52.2;54.8;58;55.2;52;43.5;38.9;37.2;42.4;39.1;38.1;32.7;24.5;29;27.1;66.1;80.9;85.4;92;89.4;81.8;78.8;65;51.2;43.1;37.6;33.6;31.5;29.6;27.7;25.4;24.2
India;;;;;;;;;;;;75.3;77.4;77;73.5;69.7;66;67.8;68.1;70;73.6;78.7;82.9;84.2;83.3;80.9;77.1;74;72.7;71.1;66;68.3;67.7;67.4;66.8;68.8;67.7;67.8;68.1;69;68.5;67.7;66.9;66.2;65.6
Indonesia;;;;;;;;;;;;;;;;;;;;;87.4;73.7;62.3;55.6;51.3;42.6;35.8;32.3;30.3;26.5;24.5;23.1;23;24.8;24.7;27;28;29.4;30.1;30.3;30;29.9;29.8;29.7;29.6
Iran;;;;;;;;;;;;;;;;;22.2;19.1;21.7;15.9;11.9;11.7;21.6;19.5;16.2;13;11.9;11.4;9.1;10.1;11.7;8.9;12.1;10.7;11.8;38.4;47.5;39.5;32.2;30.7;28.8;28.1;28.2;29.2;30.3
Iraq;;;;;;;;;;;;;;;;;;;;;;;;;344.3;227.3;143.2;117.1;74.2;87.4;53.5;40.7;34.8;32;32.9;56.9;64.3;58.9;49.3;51.1;51.8;52.9;54.8;57.9;61.5
Ireland;;;;;;;;;;;;;;;;78.5;69.9;61.6;51.5;46.6;36.1;33.2;30.6;29.9;28.2;26.1;23.6;23.9;42.4;61.6;86;111.1;120;120;104.5;76.8;74;67.8;63.7;60.9;57.7;56.2;53.3;50.4;47.3
Israel;;;;;;;;;;;;;;;;;;;;;79.6;83.7;90.2;92.9;91.3;88.2;80;73;71.9;74.5;70.7;68.7;68.5;67.1;65.9;63.9;62.1;60.4;60.8;61.9;62.8;63.5;64.1;64.7;65.4
Italy;;;;;;;;;92.9;95.5;98.7;102.2;109.7;120.5;127;116.9;116.3;113.8;110.8;109.7;105.1;104.7;101.9;100.5;100.1;101.9;102.6;99.8;102.4;112.5;115.4;116.5;123.4;129;131.8;131.6;131.4;131.4;132.2;133.2;133.7;133.9;134;134;134
Jamaica;;;;;;;;;;;;;;;;;;;;82.7;91.8;108;118.4;123.2;119.9;124.7;117.1;114.5;127;141.9;141.9;140.5;145.8;139.1;138;121.9;113.6;101.1;94.4;93.5;88.3;82.2;76.1;69.9;64.2
Japan;48.8;54;59;64.9;67;69.7;75.5;77.3;73.2;66.8;64.3;63.5;68;74.2;85;95.9;101;106.7;117.9;131.1;137.9;146.8;156.8;162.7;171.7;176.8;176.4;175.4;183.4;201;207.9;222.1;229;232.5;236.1;231.6;236.3;235;237.1;237.7;237.6;238.4;238.1;237.7;237.6
Jordan;;;;;;;;;177.5;211.6;219.7;200.6;149.7;137;126.3;114.9;113.8;106.6;109.7;108;100.5;96.5;99.7;99.6;91.8;84.3;76.3;73.8;60.2;64.8;67.1;70.4;79.1;85.5;87.8;92.4;93.8;94.3;94.4;94.6;94.1;92.4;89.2;86.4;83.7
Kazakhstan;;;;;;;;;;;;;;;;;;;;;;;17.6;15;11.4;8.1;6.7;5.9;6.8;10.2;10.7;10.2;12.1;12.6;14.5;21.9;19.7;20.3;21;20.8;21.1;21.3;22.2;22.7;23.5
Kenya;;;;;;;;;;;;;;;;;;;54.4;53.7;52.2;56.2;61.8;60.1;53.8;48.3;44;38.4;41.5;41.1;44.4;43;43.9;44;48.6;51.4;54.5;55.2;60.1;61.6;61.3;61.7;61.8;62.5;62.1
Kiribati;;;;;;;;;2.1;4.3;6.6;7.3;9.4;13.7;15;15;13.4;12.8;11.2;13.2;11.9;15.4;11.8;11.2;12;10.5;11.3;9.9;12.9;9.3;8.5;8;7.4;8.3;8.7;19.9;21.9;21.6;20.6;22.6;27.3;34.3;40.5;46.2;51.3
Korea, Republic of;;;;;;;;;;;12.9;12.1;11.8;11;9.8;8.7;8;9.9;14.2;16.2;16.7;17.2;17;19.8;22.4;25.9;28.1;27.4;26.9;30;29.5;30.2;30.8;33.7;35.5;37.3;37.6;37.7;37.9;40.1;43.4;46.4;49;51.3;53.3
Kosovo;;;;;;;;;;;;;;;;;;;;;;;;;;;16.7;14.6;9.8;6.1;5.9;5.2;8.2;9;10.6;13;14.3;16.3;17;18.2;20.5;22.5;24;25.1;26
Kuwait;;;;;;;;;;;;151.1;117.7;88.9;88.5;78;59;52.2;55.1;46.6;34.9;35.1;30;23;17.3;11.8;8.3;7;5.4;6.7;6.2;4.6;3.6;3.1;3.4;4.7;10;20.7;14.7;15.2;17.4;25;30.4;34.3;38.3
Kyrgyz Republic;;;;;;;;;;;;;;;;;;;;;123.3;108.2;107.9;108.2;92.7;85.7;73.4;57.7;49;58.5;59.7;50.1;50.5;47.1;53.6;67.1;59.1;58.8;56;56.3;55.7;55.5;54.7;54.6;54.6
Lao P.D.R.;;;;;;;;;;;;;;;;;;;;;;94.7;95.3;90.1;80.7;73.2;60;55.9;51.7;51.8;49.3;43;46.1;49.5;53.5;53.1;54.2;55.8;57.2;58;56.2;55.5;54.7;53.9;53.3
Latvia;;;;;;;;;;;;;;;;;;;9.5;14.4;14.8;17.5;14.9;14.3;14.1;11.5;9.6;8.1;18;35.9;46.9;43.3;41.9;39.4;40.9;36.8;40.3;40;35.9;36.3;34.9;35;34.2;32.7;31.6
Lebanon;;;;;;;;;;;;;;;;;;;;;148.2;163.2;163.2;171.4;169.7;179;183.1;169;160.9;144.2;136.9;133.9;130.4;135.4;137.8;140.7;146.1;149;151;155.1;161.8;167;172;178.2;185.2
Lesotho;;;;;;;;;23.1;25.3;17.8;11.8;63.8;70.5;66.3;62.2;70.9;65;78.6;82.1;87.6;107.6;78.8;52.1;45.5;48.7;51;50.9;44.9;34.1;31.8;33.7;37;38.5;38.8;43.2;37;37.1;44.5;45.9;46.9;45.4;43.3;42.4;32.8
Liberia;;;;;;;;;;;;;;;;;;;;;401.6;399.1;397.8;514.9;466.3;419.1;386.9;314.7;201.9;113.4;21.8;19.3;17.6;17.9;21.7;25.9;28.3;34;39.9;45.5;51.1;56.9;59.4;64.1;65.4
Lithuania;;;;;;;;;;;;;;;;;;;21.8;28.1;23.5;22.9;22.1;20.4;18.7;17.6;17.2;15.9;14.6;29;36.2;37.2;39.8;38.8;40.5;42.6;39.9;39.4;34.2;31.8;29.9;28.3;26.9;25.6;24.4
